import time: self [us] | cumulative | imported package
import time:       362 |       1824 |                               pathlib._local
import time:        92 |       4184 |                             pathlib
import time:       214 |       4398 |                           numpy.testing._private.extbuild
import time:        28 |         28 |                             gc
import time:       874 |        874 |                                     _json
import time:       227 |       1101 |                                   json.scanner
import time:       362 |       1462 |                                 json.decoder
import time:       247 |        247 |                                 json.encoder
import time:       139 |       1847 |                               json
import time:       428 |        428 |                               email
import time:       229 |        229 |                                   zipfile._path.glob
import time:       498 |        726 |                                 zipfile._path
import time:      1010 |       1736 |                               zipfile
import time:       276 |        276 |                               importlib.metadata._meta
import time:       305 |        305 |                               importlib.metadata._collections
import time:       239 |        239 |                               importlib.metadata._functools
import time:        78 |         78 |                               importlib.metadata._itertools
import time:       374 |        374 |                                     tempfile
import time:       369 |        369 |                                     importlib.resources.abc
import time:       391 |       1133 |                                   importlib.resources._common
import time:       106 |        106 |                                   importlib.resources._functional
import time:       556 |       1794 |                                 importlib.resources
import time:       332 |       2125 |                               importlib.abc
import time:      1143 |       8174 |                             importlib.metadata
import time:      1246 |       9447 |                           numpy.testing._private.utils
import time:       330 |      20685 |                         numpy.testing
import time:       526 |        526 |                           numpy.f2py.diagnose
import time:       243 |        243 |                             numpy.f2py._backends
import time:       175 |        175 |                             numpy.f2py.__version__
import time:       293 |        293 |                               numpy.f2py.cfuncs
import time:       866 |       1159 |                             numpy.f2py.auxfuncs
import time:      1235 |       1235 |                               numpy.f2py.cb_rules
import time:       242 |        242 |                               numpy.f2py._isocbind
import time:       530 |        530 |                                 fileinput
import time:      1316 |       1316 |                                         charset_normalizer.constant
import time:      1793 |       1793 |                                           unicodedata
import time:       366 |       2159 |                                         charset_normalizer.utils
import time:      1813 |       5288 |                                       charset_normalizer.md
import time:      3423 |       8710 |                                     charset_normalizer.cd
import time:       457 |        457 |                                     charset_normalizer.models
import time:      1266 |       1266 |                                     _multibytecodec
import time:      8532 |      18963 |                                   charset_normalizer.api
import time:       302 |        302 |                                   charset_normalizer.legacy
import time:       183 |        183 |                                   charset_normalizer.version
import time:       444 |      19891 |                                 charset_normalizer
import time:      1030 |       1030 |                                 numpy.f2py.symbolic
import time:      6134 |      27583 |                               numpy.f2py.crackfortran
import time:       562 |      29621 |                             numpy.f2py.capi_maps
import time:       260 |        260 |                               numpy.f2py.func2subr
import time:       373 |        633 |                             numpy.f2py.f90mod_rules
import time:       326 |        326 |                               numpy.f2py.common_rules
import time:       264 |        264 |                               numpy.f2py.use_rules
import time:      2473 |       3062 |                             numpy.f2py.rules
import time:       346 |      35236 |                           numpy.f2py.f2py2e
import time:       349 |      36111 |                         numpy.f2py
import time:       182 |        182 |                         numpy.rec
import time:       636 |        636 |                           scipy._external.array_api_compat.common._aliases
import time:       234 |        234 |                           scipy._external.array_api_compat.numpy._typing
import time:       842 |       1711 |                         scipy._external.array_api_compat.numpy._aliases
import time:       243 |        243 |                         scipy._external.array_api_compat.numpy._info
import time:       475 |        475 |                           scipy._external.array_api_compat.common._linalg
import time:       373 |        847 |                         scipy._external.array_api_compat.numpy.linalg
import time:       232 |        232 |                           scipy._external.array_api_compat.common._fft
import time:       398 |        630 |                         scipy._external.array_api_compat.numpy.fft
import time:       720 |      97589 |                       scipy._external.array_api_compat.numpy
import time:       350 |        350 |                             scipy._external.array_api_extra._lib
import time:       281 |        281 |                                 scipy._external.array_api_extra._lib._utils
import time:       165 |        165 |                                       scipy._lib._sparse
import time:       290 |        455 |                                     scipy._lib._array_api_override
import time:       214 |        668 |                                   scipy._external._array_api_compat_vendor
import time:       203 |        870 |                                 scipy._external.array_api_extra._lib._utils._compat
import time:       176 |        176 |                                   scipy._external.array_api_extra._lib._utils._typing
import time:       391 |        566 |                                 scipy._external.array_api_extra._lib._utils._helpers
import time:       342 |       2058 |                               scipy._external.array_api_extra._lib._at
import time:       554 |       2611 |                             scipy._external.array_api_extra._lib._funcs
import time:       367 |       3327 |                           scipy._external.array_api_extra._delegation
import time:       243 |        243 |                           scipy._external.array_api_extra._lib._lazy
import time:       240 |       3809 |                         scipy._external.array_api_extra
import time:       335 |       4144 |                       scipy._external.array_api_extra.testing
import time:       438 |        438 |                           pkgutil
import time:       299 |        299 |                             urllib
import time:      1094 |       1094 |                             ipaddress
import time:       874 |       2265 |                           urllib.parse
import time:       251 |        251 |                             _pyrepl
import time:       587 |        838 |                           _pyrepl.pager
import time:      1106 |       4645 |                         pydoc
import time:       849 |       5493 |                       scipy._lib._docscrape
import time:       946 |     111682 |                     scipy._lib._array_api
import time:       533 |     112214 |                   scipy._lib._util
import time:       599 |     119739 |                 scipy.linalg._misc
import time:      2104 |       2104 |                 scipy.linalg._cythonized_array_utils
import time:      1850 |       1850 |                   scipy.linalg._decomp
import time:       620 |        620 |                   scipy.linalg._decomp_svd
import time:      1753 |       1753 |                   scipy.linalg._solve_toeplitz
import time:      1535 |       5756 |                 scipy.linalg._basic
import time:       405 |        405 |                 scipy.linalg._decomp_lu
import time:       465 |        465 |                 scipy.linalg._decomp_ldl
import time:       484 |        484 |                 scipy.linalg._decomp_cholesky
import time:       265 |        265 |                   scipy._lib.deprecation
import time:       464 |        728 |                 scipy.linalg._decomp_qr
import time:       704 |        704 |                 scipy.linalg._decomp_qz
import time:       637 |        637 |                 scipy.linalg._decomp_schur
import time:       332 |        332 |                 scipy.linalg._decomp_polar
import time:       480 |        480 |                   scipy.linalg._expm_frechet
import time:      1767 |       1767 |                   scipy.linalg._internal_matfuncs
import time:      1912 |       1912 |                   scipy.linalg._linalg_pythran
import time:      1058 |       5216 |                 scipy.linalg._matfuncs
import time:       618 |        618 |                 scipy.linalg._special_matrices
import time:       621 |        621 |                 scipy.linalg._solvers
import time:       527 |        527 |                 scipy.linalg._procrustes
import time:      2109 |       2109 |                   scipy.linalg.cython_blas
import time:      2870 |       2870 |                   scipy.linalg.cython_lapack
import time:      2347 |       7324 |                 scipy.linalg._decomp_update
import time:       646 |        646 |                 scipy.linalg._sketches
import time:       269 |        269 |                 scipy.linalg._decomp_cossin
import time:       164 |        164 |                 scipy.linalg.decomp
import time:       142 |        142 |                 scipy.linalg.decomp_cholesky
import time:       178 |        178 |                 scipy.linalg.decomp_lu
import time:       637 |        637 |                 scipy.linalg.decomp_qr
import time:        74 |         74 |                 scipy.linalg.decomp_svd
import time:        83 |         83 |                 scipy.linalg.decomp_schur
import time:       178 |        178 |                 scipy.linalg.basic
import time:       217 |        217 |                 scipy.linalg.misc
import time:       568 |        568 |                 scipy.linalg.special_matrices
import time:        88 |         88 |                 scipy.linalg.matfuncs
import time:       632 |     149525 |               scipy.linalg
import time:        13 |     149538 |             scipy.linalg.cython_lapack
import time:      1274 |     150811 |           scipy.special._ellip_harm_2
import time:      3071 |       3071 |           scipy.special._special_ufuncs
import time:      1667 |       1667 |           scipy.special._gufuncs
import time:      3088 |     159949 |         scipy.special._ufuncs
import time:       180 |        180 |           scipy.special._input_validation
import time:      1553 |       1553 |           scipy.special._specfun
import time:      1456 |       1456 |           scipy.special._comb
import time:       565 |       3753 |         scipy.special._basic
import time:       214 |        214 |             scipy.special._ufunc_tools
import time:       310 |        524 |           scipy.special._spfun_stats
import time:     13789 |      14312 |         scipy.special._support_alternative_backends
import time:       842 |        842 |         scipy.special._logsumexp
import time:       402 |        402 |         scipy.special._multiufuncs
import time:       423 |        423 |         scipy.special._orthogonal
import time:       104 |        104 |         scipy.special._ellip_harm
import time:       157 |        157 |         scipy.special._lambertw
import time:       201 |        201 |         scipy.special._spherical_bessel
import time:       194 |        194 |         scipy.special.add_newdocs
import time:       216 |        216 |         scipy.special.basic
import time:       579 |        579 |         scipy.special.orthogonal
import time:        88 |         88 |         scipy.special.specfun
import time:       148 |        148 |         scipy.special.sf_error
import time:       141 |        141 |         scipy.special.spfun_stats
import time:       557 |     182640 |       scipy.special
import time:      2058 |       2058 |           scipy.interpolate._fitpack
import time:       661 |       2718 |         scipy.interpolate._fitpack_impl
import time:       393 |        393 |                     scipy.sparse._sputils
import time:       288 |        288 |                     scipy.sparse._matrix
import time:      2584 |       3265 |                   scipy.sparse._base
import time:      1993 |       1993 |                     scipy.sparse._sparsetools
import time:       271 |        271 |                       scipy.sparse._data
import time:       248 |        248 |                       scipy.sparse._index
import time:       395 |        913 |                     scipy.sparse._compressed
import time:       375 |       3280 |                   scipy.sparse._csr
import time:       215 |        215 |                   scipy.sparse._csc
import time:      1892 |       1892 |                     scipy.sparse._csparsetools
import time:       296 |       2188 |                   scipy.sparse._lil
import time:       406 |        406 |                   scipy.sparse._dok
import time:       555 |        555 |                   scipy.sparse._coo
import time:       340 |        340 |                   scipy.sparse._dia
import time:       328 |        328 |                   scipy.sparse._bsr
